29403;# doc = rechSTARTNUM1.2ENDNUM.txt;;;;;;;;;;;;;;;;
29404;# speaker = Д;;;;;;;;;;;;;;;;
29405;# sent = 2191;;;;;;;;;;;;;;;;
29406;;Она;ОНА;SPRO sg 3p f nom;;;_Она_ моет капусту .;а;н;о;;;;SPRO;ОНА;SPRO sg 3p f nom;А
29407;;моет;МЫТЬ;V ipf praes sg indic - 3p;;;Она _моет_ капусту .;т;е;о;м;;;V;МЫТЬ;V ipf praes sg indic - 3p;Ь
29408;;капусту;КАПУСТА;S f inan acc sg;;;Она моет _капусту_ .;у;т;с;у;п;а;S;КАПУСТА;S f inan acc sg;А
29409;;.;.;PUNCT;;;;;;;;;;PUNCT;;;
29410;;;;;;;;;;;;;;;;;
29411;# sent = 2192;;;;;;;;;;;;;;;;
29412;;А;А;CONJ;;;. _А_ , это салат;а;;;;;;CONJ;А;CONJ;А
29413;;,;,;PUNCT;;;;;;;;;;PUNCT;;;
29414;;это;ЭТО;SPRO n - nom sg;;;А , _это_ салат , а;о;т;э;;;;SPRO;ЭТО;S n - nom sg;О
29415;;салат;САЛАТ;S m inan nom sg;;;А , это _салат_ , а не;т;а;л;а;с;;S;САЛАТ;S m inan nom sg;Т
29416;;,;,;PUNCT;;;;;;;;;;PUNCT;;;
29417;;а;А;CONJ;;;это салат , _а_ не капуста .;а;;;;;;CONJ;А;CONJ;А
29418;;не;НЕ;PART;;;салат , а _не_ капуста .;е;н;;;;;PART;НЕ;PART;Е
29419;;капуста;КАПУСТА;S f inan nom sg;;;, а не _капуста_ .;а;т;с;у;п;а;S;КАПУСТА;S f inan nom sg;А
29420;;.;.;PUNCT;;;;;;;;;;PUNCT;;;
29421;;;;;;;;;;;;;;;;;
29422;# sent = 2193;;;;;;;;;;;;;;;;
29423;;Это;ЭТО;SPRO n - nom sg;;;. _Это_ промо - ролик;о;т;э;;;;SPRO;ЭТО;S n - nom sg;О
29424;;промо;ПРОМО;A - nom sg plen m -;;;Это _промо_ - ролик ,;о;м;о;р;п;;A;ПРОМОЙ;A - - sg brev n -;Й
29425;;-;-;PUNCT;;;;;;;;;;PUNCT;;;
29426;;ролик;РОЛИК;S m inan nom sg;;;Это промо - _ролик_ , я его;к;и;л;о;р;;S;РОЛИК;S m inan nom sg;К
29427;;,;,;PUNCT;;;;;;;;;;PUNCT;;;
29428;;я;Я;SPRO sg 1p - nom;;;- ролик , _я_ его не должен;я;;;;;;SPRO;Я;SPRO sg 1p - nom;Я
29429;;его;ОН;SPRO sg 3p m acc;;;ролик , я _его_ не должен комментировать;о;г;е;;;;SPRO;ОН;SPRO sg 3p m acc;Н
29430;;не;НЕ;PART;;;, я его _не_ должен комментировать .;е;н;;;;;PART;НЕ;PART;Е
